ERROR 2026-05-16 11:13:54,196 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:54,219 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:54,240 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:13:54,261 log Internal Server Error: /api/dashboard/manager/
WARNING 2026-05-16 11:17:22,302 log Unauthorized: /api/auth/login/
WARNING 2026-05-16 11:17:22,562 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-16 11:17:35,641 log Unauthorized: /api/auth/login/
WARNING 2026-05-16 11:20:59,827 log Unauthorized: /api/auth/login/
WARNING 2026-05-16 11:22:30,039 log Unauthorized: /api/auth/login/
WARNING 2026-05-16 11:23:58,906 log Bad Request: /api/teams/
WARNING 2026-05-16 11:27:55,431 log Unauthorized: /api/auth/login/
WARNING 2026-05-16 11:27:55,814 log Unauthorized: /api/auth/login/
ERROR 2026-05-16 11:50:20,589 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:50:46,177 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,059 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,134 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,205 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,263 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,331 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,395 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,448 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,506 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,564 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,642 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,700 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,769 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,826 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:13,896 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:16,097 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:16,168 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:16,227 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:16,275 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:17,402 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:17,474 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:17,525 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:17,574 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:17,635 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:17,687 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:17,741 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:17,802 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:17,882 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:17,936 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:17,990 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:18,045 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:20,042 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:20,095 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:20,162 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:20,222 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:20,288 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:20,340 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:20,394 log Internal Server Error: /api/dashboard/manager/
ERROR 2026-05-16 11:52:20,449 log Internal Server Error: /api/dashboard/manager/
WARNING 2026-05-16 11:52:45,566 log Forbidden: /api/dashboard/manager/
WARNING 2026-05-16 11:52:45,578 log Forbidden: /api/dashboard/manager/
WARNING 2026-05-16 11:52:45,600 log Forbidden: /api/dashboard/manager/
WARNING 2026-05-16 11:52:45,613 log Forbidden: /api/dashboard/manager/
WARNING 2026-05-16 11:52:47,072 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 11:52:47,090 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 11:52:53,041 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 11:52:53,061 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 11:53:02,684 log Forbidden: /api/auth/approvals/
WARNING 2026-05-16 11:53:02,722 log Forbidden: /api/auth/approvals/
ERROR 2026-05-16 11:53:14,287 log Internal Server Error: /api/dashboard/manager/
